id,coord,name,admin_region_id,admin_region_name,admin_region_zip_code,admin_region_insee
stop_area:OCE:SA:87110288,"{'lat': '47.34836', 'lon': '0.660652'}",,admin:fr:37122,Joué-lès-Tours,37300,37122
stop_area:OCE:SA:87279166,"{'lat': '46.834999', 'lon': '1.565542'}",,admin:fr:36142,Niherne,36250,36142
stop_area:OCE:SA:87286740,"{'lat': '50.611568', 'lon': '3.189764'}",,admin:fr:59602,Tressin,59152,59602
stop_area:OCE:SA:87286781,"{'lat': '50.560597', 'lon': '3.211275'}",,admin:fr:59168,Cysoing,59830,59168
stop_area:OCE:SA:87286807,"{'lat': '50.528445', 'lon': '3.220961'}",,admin:fr:59258,Genech,59242,59258
stop_area:OCE:SA:87287219,"{'lat': '50.603891', 'lon': '3.193467'}",,admin:fr:59013,Anstaing,59152,59013
stop_area:OCE:SA:87287235,"{'lat': '50.573148', 'lon': '3.20231'}",,admin:fr:59168,Cysoing,59830,59168
stop_area:OCE:SA:87287243,"{'lat': '50.538127', 'lon': '3.219541'}",,admin:fr:59258,Genech,59242,59258
stop_area:OCE:SA:87644112,"{'lat': '47.219605', 'lon': '0.8811870000000001'}",,admin:fr:37085,Courçay,37310,37085
stop_area:OCE:SA:87689737,"{'lat': '47.394142', 'lon': '0.671523'}",,admin:fr:37261,Tours,37000;37200,37261
stop_area:OCE:SA:87699298,"{'lat': '0', 'lon': '0'}",,,,,
stop_area:OCE:SA:00,"{'lat': '27.141247', 'lon': '-3.404382'}",.,,,,
stop_area:OCE:SA:80153452,"{'lat': '50.767759', 'lon': '6.091215'}",Aachen/Aix la Chapelle,admin:osm:relation:62564,Aachen,,
stop_area:OCE:SA:87313759,"{'lat': '49.685665', 'lon': '1.77418'}",Abancourt,admin:fr:60001,Abancourt,60220,60001
stop_area:OCE:SA:87481614,"{'lat': '47.55523', 'lon': '-1.524196'}",Abbaretz,admin:fr:44001,Abbaretz,44170,44001
stop_area:OCE:SA:87317362,"{'lat': '50.102194', 'lon': '1.824486'}",Abbeville,admin:fr:80001,Abbeville,80100,80001
stop_area:OCE:SA:87545269,"{'lat': '48.725377', 'lon': '2.419245'}",Ablon,admin:fr:94001,Ablon-sur-Seine,94480,94001
stop_area:OCE:SA:87191403,"{'lat': '49.261034', 'lon': '6.346529'}",Aboncourt,admin:fr:57001,Aboncourt,57920,57001
stop_area:OCE:SA:87721944,"{'lat': '46.098866', 'lon': '3.444789'}",Abrest Mairie,admin:fr:3001,Abrest,03200,3001
stop_area:OCE:SA:87677252,"{'lat': '47.659446', 'lon': '3.713922'}",Accolay-Le-Pont,admin:fr:89130,Deux Rivières,,89130
stop_area:OCE:SA:87386052,"{'lat': '48.955163', 'lon': '2.09194'}",Achères-Grand-Cormier,admin:fr:78551,Saint-Germain-en-Laye,,78551
stop_area:OCE:SA:87381657,"{'lat': '48.969341', 'lon': '2.077786'}",Achères-Ville,admin:fr:78005,Achères,78260,78005
stop_area:OCE:SA:87342048,"{'lat': '50.131685', 'lon': '2.78014'}",Achiet,admin:fr:62005,Achiet-le-Grand,62121,62005
stop_area:OCE:SA:87658856,"{'lat': '48.905629', 'lon': '7.208236'}",Adamswiller Lot. forêt.,admin:fr:67002,Adamswiller,67320,67002
stop_area:OCE:SA:87658922,"{'lat': '48.903847', 'lon': '7.201171'}",Adamswiller-(Mairie).,admin:fr:67002,Adamswiller,67320,67002
